rank,billing_npi,name,provider_type,specialty,city,state,zip,total_claims,total_paid
21,1518096411,COMMONWEALTH OF MASSACHUSETS,Organization,Case Management,BEVERLY,MA,1915,1557105,1143418621
22,1700090834,LOS ANGELES COUNTY DEPARTMENT OF PUBLIC HEALTH,Organization,Public Health or Welfare,ALHAMBRA,CA,91803,14999665,1125938944
23,1780816991,NAE EDISON LLC,Organization,Home Health,BROOKLYN,NY,11218,6915432,1107509967
24,1275657553,"HEART TO HEART HOME CARE, INC.",Organization,Home Health,BROOKLYN,NY,11201,7622845,1101806880
25,1134250475,COMMONWEALTH OF MASS-DDS,Organization,Case Management,HYDE PARK,MA,2136,1432892,1097550708
26,1376097303,MARKS HOMECARE AGENCY INC,Organization,In Home Supportive Care,CORONA,NY,11368,6692707,1081483693
27,1578778726,YALE NEW HAVEN HOSPITAL,Organization,General Acute Care Hospital,NEW HAVEN,CT,6504,23557851,1080566063
28,1083783013,"NEW PARTNERS, INC",Organization,Home Health,NEW YORK,NY,10017,5875713,1077342252
29,1326168840,DEPARTMENT OF HEALTH AND SENIOR SERVICES,Organization,Specialist,TRENTON,NJ,8608,3312341,1073667311
30,1659402303,ALAMEDA COUNTY BEHAVIORAL HEALTH CARE,Organization,Community/Behavioral Health,OAKLAND,CA,94606,6138417,1068150355
31,1184703415,"CONCEPTS OF INDEPENDENCE, INC.",Organization,Home Health,NEW YORK,NY,10005,5015054,1061917966
32,1720145378,ACUMEN FISCAL AGENT LLC,Organization,Community/Behavioral Health,MESA,AZ,85206,10544174,1061171577
33,1194934471,COUNTY OF SAN BERNARDINO,Organization,"Clinic/Center, Rehabilitation, Substance Use Disorder",SAN BERNARDINO,CA,92415,6532613,1053552905
34,1396049987,COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES INC,Organization,Case Management,NEW YORK,NY,10002,2757160,1042893317
35,1518098359,"STAVROS CENTER FOR INDEPENDENT LIVING, INC.",Organization,Case Management,AMHERST,MA,1002,11206578,1037216238
36,1518049485,HEALTH ACQUISITION CORP.,Organization,Home Health,FOREST HILLS,NY,11375,5716218,1025590032
37,1932341898,"MAINS'L FLORIDA, INC.",Organization,Home Health,BROOKLYN PARK,MN,55445,306131,996801121.5
38,1952476988,MONTEFIORE MEDICAL CENTER,Organization,General Acute Care Hospital,BRONX,NY,10467,17112336,961141901.4
39,1457410904,"CARING PROFESSIONALS, INC",Organization,Home Health,FOREST HILLS,NY,11375,5589304,953479646.1
40,1093834020,"PURFOODS, LLC",Organization,Home Delivered Meals,ANKENY,IA,50021,51017667,910633453.1
41,1043386659,COUNTY OF SACRAMENTO,Organization,"Clinic/Center, Adult Mental Health",SACRAMENTO,CA,95823,4320082,903144308
42,1134260078,"MEDICAL TRANSPORTATION MANAGEMENT, INC.",Organization,Transportation Broker,LAKE ST LOUIS,MO,63367,34388480,894406192.5
43,1124304621,"PUBLIC PARTNERSHIPS-COLORADO, INC.",Organization,Supports Brokerage,BOSTON,MA,2109,5599208,887501813.4
44,1245354000,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,HYANNIS,MA,2601,781227,881889979.8
45,1871821710,PLATINUM HOME HEALTH CARE INC.,Organization,Home Health,BROOKLYN,NY,11232,4759464,865877079.4
46,1679525919,THE CLEVELAND CLINIC FOUNDATION,Organization,General Acute Care Hospital,CLEVELAND,OH,44195,16016267,863549395.8
47,1053321869,"GIRLING HEALTH CARE, INC.",Organization,Home Health,AUSTIN,TX,78731,14797415,858202022
48,1033571658,C AND T HOMECARE SERVICES LLC,Organization,In Home Supportive Care,GREAT NECK,NY,11021,5704959,848211431.1
49,1801060363,"HOME FAMILY CARE, INC",Organization,Home Health,BROOKLYN,NY,11235,5447800,842517560.2
50,1730438706,HUMAN CARE LLC,Organization,Home Health,BROOKLYN,NY,11232,4928110,840475278
51,1104963347,COUNTY OF ORANGE,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",SANTA ANA,CA,92701,4933775,806659263.5
52,1124494059,TENNESSEE DEPARTMENT OF CHILDREN'S SERVICES,Organization,Public Health or Welfare,NASHVILLE,TN,37243,910831,780976224.3
53,1134152986,NATIONWIDE CHILDREN'S HOSPITAL,Organization,General Acute Care Hospital,COLUMBUS,OH,43205,11019261,777537649.4
54,1770022691,"A & J STAFFING, INC",Organization,Home Health,BROOKLYN,NY,11219,5661079,775248390.6
55,1346218294,BOSTON MEDICAL CENTER CORPORATION,Organization,General Acute Care Hospital,BOSTON,MA,2118,14457145,768481072.4
56,1457562811,"S & A UNIFIED HOME CARE, INC.",Organization,Home Health,BROOKLYN,NY,11235,4839538,767950562
57,1184166027,"BURRELL, INC.",Organization,Community/Behavioral Health,SPRINGFIELD,MO,65804,6527516,759749435.8
58,1528338282,ALL AMERICAN HOMECARE AGENCY INC.,Organization,Home Health,BROOKLYN,NY,11235,4827072,759480229.5
59,1447393319,"SPECIAL TOUCH HOME CARE SERVICES, INC.",Organization,Home Health,BROOKLYN,NY,11223,4169477,745668883.8
60,1528315397,FIVE STAR HOME HEALTH CARE AGENCY,Organization,Home Health,BROOKLYN,NY,11229,4689038,740001914
61,1821275801,THE ROYAL CARE INC,Organization,Home Health,BROOKLYN,NY,11219,4166637,737824812.6
62,1992920417,"NORTHEAST ARC, INC.",Organization,Community/Behavioral Health,DANVERS,MA,1923,9313474,733082656.7
63,1770538001,COUNTY OF FRESNO,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",FRESNO,CA,93726,3034929,728111212.5
64,1457601965,CALL THE CAR,Organization,Non-emergency Medical Transport (VAN),PASADENA,CA,91107,26606071,723937836.8
65,1063497451,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,RARITAN,NJ,8869,109455732,717466640.8
66,1518911338,UNIVERSITY OF KENTUCKY,Organization,General Acute Care Hospital,LEXINGTON,KY,40536,8817197,716407787.9
67,1063812105,ABI FI CORP,Organization,Home Health,FLUSHING,NY,11355,5318854,714231712.5
68,1407897309,"HENNEPIN HEALTHCARE SYSTEM, INC",Organization,General Acute Care Hospital,MINNEAPOLIS,MN,55415,9991272,708859553.1
69,1104253558,CARE FINDERS TOTAL CARE LLC,Organization,Home Health,HACKENSACK,NJ,7601,8270331,708682479.3
70,1952346876,"AOC TX, LLC",Organization,Home Health,SHERMAN,TX,75090,1626136,708513856.5
71,1932106010,"PERSONAL TOUCH HOME CARE OF NEW YORK, INC",Organization,Home Health,LONG ISLAND CITY,NY,11106,3291802,703738514.8
72,1730244294,"BESTCARE, INC",Organization,Home Health,LEVITTOWN,NY,11756,3803723,696610298.1
73,1649363342,"AMERICARE, INC.",Organization,Home Health,BROOKLYN,NY,11234,3665321,686260064.1
74,1265926687,FRIENDS AND FAMILY HOME CARE SERVICES,Organization,In Home Supportive Care,NEW YORK,NY,10033,4947130,680727558.7
75,1366479099,UNILAB CORPORATION,Organization,Clinical Medical Laboratory,WEST HILLS,CA,91304,111637602,668499553.8
76,1194165985,"COMMUNITY HEALTH AIDE SERVICES, INC.",Organization,Home Health,MONSEY,NY,10952,3944870,667442680.7
77,1437175734,VIRGINIA COMMONWEALTH UNIVERSITY HEALTH SYSTEM AUTHORITY,Organization,General Acute Care Hospital,RICHMOND,VA,23298,8471931,658485314.3
78,1730491945,"CITY MEDICAL OF UPPER EAST SIDE, PLLC",Organization,"Clinic/Center, Urgent Care",NEW YORK,NY,10028,7838014,643184712.3
79,1225255375,COUNTY OF SAN DIEGO,Organization,Public Health or Welfare,SAN DIEGO,CA,92101,5455305,642451488.1
80,1558672279,"NATERA, INC.",Organization,Clinical Medical Laboratory,SAN CARLOS,CA,94070,7257656,641511859.9
81,1932145778,QUEST DIAGNOSTICS INCORPORATED,Organization,Clinical Medical Laboratory,CLIFTON,NJ,7012,57184397,637741416.6
82,1447488721,"BNV HOME CARE AGENCY, INC.",Organization,Home Health,REGO PARK,NY,11374,3446648,636580819
83,1326111337,ALABAMA DEPARTMENT OF SENIOR SERVICES,Organization,Home Health,MONTGOMERY,AL,36130,10763744,631608444.9
84,1801027404,"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",Organization,Supports Brokerage,SAN ANTONIO,TX,78201,3406847,624768225.3
85,1134277494,"BIOREFERENCE HEALTH, LLC",Organization,Clinical Medical Laboratory,ELMWOOD PARK,NJ,7407,60790152,620067105.7
86,1932184322,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,DUBLIN,OH,43016,53462000,617017961.8
87,1306875695,"YOUTH VILLAGES, INC.",Organization,Community/Behavioral Health,BARTLETT,TN,38133,790946,615308759.6
88,1518259035,ASTRA HOME CARE,Organization,Home Health,BROOKLYN,NY,11218,3502099,609810517.8
89,1932721834,"ARION CARE SOLUTIONS, LLC",Organization,In Home Supportive Care,CHANDLER,AZ,85224,5766334,606657803.1
90,1861520272,ACCESS2CARE LLC,Organization,Transportation Broker,LAKE ST LOUIS,MO,63367,17581374,600905872.1
91,1245414721,"CAREGIVER HOMES OF MASSACHUSETTS, INC",Organization,Case Management,AUBURN,MA,1501,7464255,598860245
92,1508199258,COUNTY OF VENTURA,Organization,Community/Behavioral Health,OXNARD,CA,93036,3115644,598198692.3
93,1053641498,CENTRIA HEALTHCARE LLC,Organization,Home Health,FARMINGTON HILLS,MI,48334,2755271,590623456.3
94,1003953803,HOME HEALTH CARE SERVICES OF NY,Organization,Home Health,BROOKLYN,NY,11230,3013352,588362360.5
95,1497933162,"MILLENNIUM HEALTH, LLC",Organization,Clinical Medical Laboratory,SAN DIEGO,CA,92127,30684871,579294569.1
96,1508025370,AMAZING HOME CARE SERVICES LLC,Organization,Home Health,BRONX,NY,10462,3902694,576959418.1
97,1700828852,THE METROHEALTH SYSTEM,Organization,General Acute Care Hospital,CLEVELAND,OH,44109,10961069,574131419.7
98,1891728697,AEROFLOW INC,Organization,Durable Medical Equipment & Medical Supplies,ARDEN,NC,28704,9598455,571724616.6
99,1720121106,"BANCROFT, A NEW JERSEY NONPROFIT CORPORATION",Organization,"Clinic/Center, Rehabilitation",CHERRY HILL,NJ,8033,1802919,560383490.9
100,1083765689,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,Organization,Community/Behavioral Health,MONTGOMERY,AL,36130,11242943,559483344.5
101,1861506560,CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,Organization,"General Acute Care Hospital, Children",AKRON,OH,44308,6634271,556646906.7
102,1760480503,PHOENIX CHILDREN'S HOSPITAL,Organization,"General Acute Care Hospital, Children",PHOENIX,AZ,85016,4185462,555705726.2
103,1275752065,"TEMPUS UNLIMITED, INC.",Organization,Voluntary or Charitable,STOUGHTON,MA,2072,6632240,554866274
104,1619969458,SUN RIVER HEALTH INC.,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",PEEKSKILL,NY,10566,4950940,546516638.8
105,1780045542,NV ST DV MH DS DESERT DEV CENTER,Organization,"Respite Care, Respite Care, Intellectual and/or Developmental Disabilities, Child",LAS VEGAS,NV,89146,702749,545383072.1
106,1184841926,"CHINESE-AMERICAN PLANNING COUNCIL HOME ATTENDANT PROGRAM, INC.",Organization,Home Health,NEW YORK,NY,10013,2591493,541945210
107,1538371778,"WHITE GLOVE COMMUNITY CARE, INC.",Organization,Home Health,BRICK,NJ,8724,2590168,540711656.6
108,1427138726,CONTRA COSTA COUNTY,Organization,General Acute Care Hospital,MARTINEZ,CA,94553,3178417,536975607.7
109,1649462169,ATTENTIVE HOME CARE AGENCY INC,Organization,Home Health,BROOKLYN,NY,11235,3190349,536743822
110,1558781559,"X-TREME HOME CARE, INC.",Organization,Voluntary or Charitable,BAYSIDE,NY,11361,3738812,533674569.6
111,1952591851,COMMUNITY HEALTH CENTER INC,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",MIDDLETOWN,CT,6457,7332545,533305232.6
112,1275665457,NEW YORK NETWORK IPA INC,Organization,Exclusive Provider Organization,BROOKLYN,NY,11232,11162404,529965639.4
113,1487721155,"COMMUNITY HOME CARE REFERRAL SERVICE, INC.",Organization,Home Health,BROOKLYN,NY,11219,3194897,528001344.7
114,1881708899,SHIELD CALIFORNIA HEALTH CARE CENTER INC,Organization,"Durable Medical Equipment & Medical Supplies, Parenteral & Enteral Nutrition",VALENCIA,CA,91355,10338535,522623914.2
115,1841302445,PEOPLE CARE INCORPORATED,Organization,Home Health,BROOKLYN,NY,11204,2659476,521690136.6
116,1932541729,PUBLIC PARTNERSHIPS LLC,Organization,Supports Brokerage,ALPHARETTA,GA,30009,6692783,520349749.1
117,1336117621,AMBERCARE HOME HEALTH CARE CORPORATION,Organization,Home Health,ALBUQUERQUE,NM,87113,3854882,518099159.4
118,1639172810,BOWEN HEALTH INC,Organization,"Clinic/Center, Adult Mental Health",WARSAW,IN,46580,4860818,509260010.3
119,1154317527,STATE OF MISSISSIPPI - UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,Organization,General Acute Care Hospital,JACKSON,MS,39216,10036136,506717191
120,1326170796,"ALL METRO HOME CARE SERVICES OF NEW YORK, INC.",Organization,Home Health,LYNBROOK,NY,11563,2593899,504367806.8
121,1164535274,ZOLL SERVICES LLC,Organization,Durable Medical Equipment & Medical Supplies,PITTSBURGH,PA,15238,477988,503987183.9
122,1659769446,"BRIGHTVIEW, LLC",Organization,"Internal Medicine, Addiction Medicine",CINCINNATI,OH,45206,7922041,501081513.8
123,1780630608,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,Organization,General Acute Care Hospital,CHARLOTTESVILLE,VA,22908,7181828,500546324.4
124,1639473580,"THE DORAL INVESTORS GROUP, LLC DBA HOUSE CALLS HOME CARE",Organization,Home Health,BROOKLYN,NY,11233,2913712,497092595.7
125,1447886288,STATE OF MISSOURI,Organization,"Psychologist, Rehabilitation",JEFFERSON CITY,MO,65101,3328210,493553307.1
126,1184779332,SCOTTISH RITE CHILDREN'S MEDICAL CENTER,Organization,"Pediatrics, Pediatric Hematology-Oncology",ATLANTA,GA,30342,3556445,493376371.9
127,1831151455,"UMASS MEMORIAL MEDICAL CENTER, INC.",Organization,General Acute Care Hospital,WORCESTER,MA,1655,9725181,491010298.6
128,1073730347,MA-DEPARTMENT OF SOCIAL SERVICES-REHAB,Organization,Public Health or Welfare,BOSTON,MA,2210,225775,490725902.5
129,1063436723,"WALL RESIDENCES, LLC",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",FLOYD,VA,24091,89469,481636325.7
130,1689712481,CAREGIVERS HOME HEALTH TX INC,Organization,Home Health,RICHARDSON,TX,75081,3981132,477736242.1
131,1568658821,COUNTY OF KERN,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",BAKERSFIELD,CA,93301,4280553,473443035.9
132,1528281532,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,SPRINGFIELD,MA,1103,750654,465361804.1
133,1689747552,UNM HOSPITAL,Organization,General Acute Care Hospital,ALBUQUERQUE,NM,87106,6996849,463287047.2
134,1275849283,"DAP HEALTH, INC.",Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",DESERT HOT SPRINGS,CA,92240,1868258,462989708.4
135,1013377431,"S & A UNIFIED HOME CARE, INC.",Organization,Home Health,BROOKLYN,NY,11223,3056425,461002867.3
136,1114070752,NATIONAL MENTOR HEALTHCARE,Organization,"Day Training, Developmentally Disabled Services",PHOENIX,AZ,85004,2148532,459715463.3
137,1194832477,THE NEW YORK AND PRESBYTERIAN HOSPITAL,Organization,General Acute Care Hospital,NEW YORK,NY,10032,7110407,454946329.2
138,1023140498,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,S WEYMOUTH,MA,2190,578640,447546116.8
139,1942339825,COMMONWEALTH OF MASSACHUSETTS,Organization,Case Management,HAVERHILL,MA,1830,584358,443959619.8
140,1467832584,"MARKS HOME CARE AGENCY OF NY, INC",Organization,Home Health,REGO PARK,NY,11374,3279635,442602790.5
141,1023049236,THE GENERAL HOSPITAL CORPORATION,Organization,General Acute Care Hospital,BOSTON,MA,2114,10261638,437796181.5
142,1295842508,ALLIANCE FOR HEALTH,Organization,Home Health,BROOKLYN,NY,11201,2238893,437462889.2
143,1982735643,COMMONWEALTH OF MASS-DDS,Organization,Case Management,WALPOLE,MA,2081,658415,435792281.8
144,1801276738,"PALCO, INC.",Organization,Supports Brokerage,MAUMELLE,AR,72113,4252057,435598227.5
145,1477921609,GOLDEN TOUCH HOME HEALTH LLC,Organization,Home Health,NEW YORK,NY,10002,3250176,433777650.9
146,1881630614,QUEST DIAGNOSTICS LLC IL,Organization,Clinical Medical Laboratory,WOOD DALE,IL,60191,29324170,429837133.5
147,1740556844,LONGEVITY HEALTH SERVICES LLC,Organization,Home Health,FLUSHING,NY,11354,3198791,427172837.2
148,1609858729,"RGH ENTERPRISES, LLC",Organization,Durable Medical Equipment & Medical Supplies,TWINSBURG,OH,44087,5838333,424768920.5
149,1316943566,"ACADIAN AMBULANCE SERVICE, INC.",Organization,"Ambulance, Air Transport",LAFAYETTE,LA,70508,3712955,422725253.9
150,1962502229,INTEGRA PARTNERS LLC,Organization,"Durable Medical Equipment & Medical Supplies, Customized Equipment",TROY,MI,48084,6712742,422304653.9
151,1043348808,NORTON HOSPITALS INC,Organization,General Acute Care Hospital,LOUISVILLE,KY,40202,5948130,419580329.3
152,1417002007,"ULTIMATE CARE, INC.",Organization,Home Health,BROOKLYN,NY,11221,2593462,419389189.8
153,1922463751,"VEYO, LLC",Organization,Transportation Broker,LAKE ST LOUIS,MO,63367,20303015,416783155
154,1205378379,"TRUE FAMILY CARE SERVICES, LLC",Organization,Home Health,BROOKLYN,NY,11218,2952190,412840826.7
155,1730451071,"COORDINATED BEHAVIORAL CARE, INC",Organization,Case Management,NEW YORK,NY,10006,1213709,407155351.6
156,1679524961,"LEGACY COMMUNITY HEALTH SERVICES, INC",Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",HOUSTON,TX,77006,4851928,406511581
157,1295261683,THE DEVEREUX FOUNDATION,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",CHERRY HILL,NJ,8003,1028417,401151949.8
158,1255333597,NEW ENGLAND HOME CARE INC.,Organization,Home Health,ROCKY HILL,CT,6067,6765929,400057183.4
159,1962432682,"ADVANCE HI-TECH NURSING, INC.",Organization,"Technician, Personal Care Attendant",SAN ANTONIO,TX,78201,6348236,399821248.7
160,1063525152,MONTEFIORE MEDICAL CENTER,Organization,Anesthesiology,BRONX,NY,10467,6356829,398402839.3
161,1437368891,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,Organization,General Acute Care Hospital,ANCHORAGE,AK,99508,2150032,397151976.5
162,1841739752,COMMITTED HOME CARE INC.,Organization,Home Health,MONROE,NY,10950,3003287,395462114.8
163,1619334323,CONSUMER DIRECT DISTRICT OF COLUMBIA,Organization,In Home Supportive Care,MISSOULA,MT,59802,1917345,392677097.1
164,1750769345,"CARING PROFESSIONALS, INC.",Organization,Home Health,FOREST HILLS,NY,11375,2677952,391512861.8
165,1780921387,JS HOME CARE AGENCY OF NY,Organization,Home Health,BROOKLYN,NY,11232,2912499,388604053.4
166,1053688572,NORTH SHORE-LIJ MEDICAL PC,Organization,Urology,GREAT NECK,NY,11021,5303467,387661175.6
167,1548212988,CHILDREN'S HOSPITAL MEDICAL CENTER,Organization,"General Acute Care Hospital, Children",CINCINNATI,OH,45229,5296668,386699974.4
168,1114931391,TEXAS DEPARTMENT OF STATE HEALTH,Organization,Clinical Medical Laboratory,AUSTIN,TX,78756,2710132,381851367.3
169,1588659528,RHODE ISLAND HOSPITAL,Organization,General Acute Care Hospital,PROVIDENCE,RI,2903,2167654,380766370.1
170,1215027966,NEWARK BETH ISRAEL MEDICAL CENTER INC,Organization,General Acute Care Hospital,NEWARK,NJ,7112,3336430,380157757.6
171,1841476009,INFINITI HOME CARE INC,Organization,Home Health,FOREST HILLS,NY,11375,1912509,378766712.8
172,1144349150,"SEVEN COUNTIES SERVICES, INC.",Organization,"Clinic/Center, Developmental Disabilities",LOUISVILLE,KY,40223,2713342,375843412.2
173,1215934005,NEW YORK HEALTH CARE INC,Organization,Home Health,VALLEY STREAM,NY,11580,2111038,375327737.2
174,1487655064,BAYSTATE MEDICAL CENTER INC,Organization,General Acute Care Hospital,SPRINGFIELD,MA,1199,7805534,374467033.5
175,1124231782,"MOORE CENTER SERVICES, INC.",Organization,Early Intervention Provider Agency,MANCHESTER,NH,3102,1418547,374255588.7
176,1982747192,STATE OF ALABAMA DEPARTMENT OF PUBLIC HEALTH,Organization,Clinical Medical Laboratory,PRATTVILLE,AL,36066,4710077,373629555.4
177,1285641514,LONG ISLAND JEWISH MEDICAL CENTER,Organization,General Acute Care Hospital,NEW HYDE PARK,NY,11040,4006664,370910466
178,1891227203,DHCARE NY LLC,Organization,Home Health,JAMAICA,NY,11432,2493293,369966268.1
179,1265483457,COMMUNITY MENTAL HEALTH AUTHORITY OF CLINTON EATON INGHAM COUNTIES,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",LANSING,MI,48910,2195165,368389281.6
180,1346285657,UNIVERSITY OF ROCHESTER,Organization,General Acute Care Hospital,ROCHESTER,NY,14642,4872721,368317925.6
181,1083715460,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,Organization,"Ambulance, Land Transport",BROOKLYN,NY,11201,2606841,363841502.9
182,1083632897,"MENTAL HEALTH COOPERATIVE, INC",Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",NASHVILLE,TN,37228,5654118,363787662.7
183,1396767430,"CENTERSTONE OF TENNESSEE, INC.",Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",NASHVILLE,TN,37217,4583159,363759740.7
184,1093826596,INNOVIVE HEALTH OF MASSACHUSETTS LLC,Organization,Home Health,MEDFORD,MA,2155,6585441,363489576.6
185,1336560390,ELITE CHOICE LLC,Organization,Home Health,BROOKLYN,NY,11223,2456267,363330596.6
186,1215998323,UNIVERSITY HOSPITAL,Organization,General Acute Care Hospital,NEWARK,NJ,7103,4711661,362912756.9
187,1104176676,"ALLIES, INC.",Organization,"Residential Treatment Facility, Emotionally Disturbed Children",HAMILTON,NJ,8690,975307,362479854.4
188,1487602736,"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC",Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",TUCSON,AZ,85745,4351444,360316533
189,1871651588,"SOUTH SHORE HOME HEALTH SERVICE, INC.",Organization,Home Health,RONKONKOMA,NY,11779,1841668,356441972.3
190,1821456526,COMMUNITY ACCESS UNLIMITED,Organization,Supports Brokerage,ELIZABETH,NJ,7202,855357,355702412.9
191,1568442309,THE COOPER HEALTH SYSTEM,Organization,General Acute Care Hospital,CAMDEN,NJ,8103,4611446,354034396.3
192,1487603585,CAMBRIDGE PUBLIC HEALTH COMMISSION,Organization,General Acute Care Hospital,CAMBRIDGE,MA,2139,7863886,352571667.3
193,1609099910,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,FITCHBURG,MA,1420,390343,352210923.5
194,1669878567,MOUNTAIN PARK HEALTH CENTER,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",PHOENIX,AZ,85012,4669455,352134469.1
195,1114058872,COMMONWEALTH OF MASS-DDS,Organization,Case Management,FRAMINGHAM,MA,1702,341759,350130933
196,1588157424,"BHPN, LLC",Organization,Case Management,WALNUT CREEK,CA,94598,2404841,350102592.3
197,1790826600,STILLAGUAMISH TRIBE OF INDIANS,Organization,"Clinic/Center, Rehabilitation, Substance Use Disorder",ARLINGTON,WA,98223,1966034,349263532.8
198,1902023526,"CUMBERLAND RIVER BEHAVIORAL HEALTH, INC",Organization,Community/Behavioral Health,CORBIN,KY,40701,2742266,349237896.3
199,1649301789,EASTER SEALS MIDWEST,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",BALLWIN,MO,63021,812078,348960028.7
200,1417027558,BRONXCARE HEALTH SYSTEM,Organization,General Acute Care Hospital,BRONX,NY,10457,5745382,348432638.6
201,1417349622,THE COLLABORATIVE FOR CHILDREN AND FAMILIES,Organization,Case Manager/Care Coordinator,NEW YORK,NY,10011,563906,347298880.7
202,1215913470,PRESBYTERIAN HEALTHCARE SERVICES,Organization,General Acute Care Hospital,ALBUQUERQUE,NM,87106,6794821,345535537.7
203,1023199965,MACOMB OAKLAND REGIONAL CENTER INC.,Organization,Community/Behavioral Health,AUBURN HILLS,MI,48326,2637648,342635897.6
204,1417941774,J&B MEDICAL SUPPLY CO INC,Organization,Durable Medical Equipment & Medical Supplies,WIXOM,MI,48393,8217300,338970874.3
205,1194028969,"COMMUNITY OPTIONS, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",PRINCETON,NJ,8540,846562,337944535.2
206,1689744856,JERSEY CITY MEDICAL CENTER,Organization,General Acute Care Hospital,JERSEY CITY,NJ,7302,3176722,336381755.5
